OP_CARRIER,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
9E,2.618437558384712,0.4007793524968639,2.2284829697753072,0.005002497435838776,2.335769763105819
AA,4.057999549136815,0.7908231161918059,3.234734281600419,0.006330264554881684,3.7901359134342685
AS,2.3247046813475283,0.3033104856351174,2.0276359924165086,0.020402508385591368,2.4430290214379466
B6,3.7799071655616174,0.2290929323215307,4.711584728168194,0.012219938282099232,4.140853850156356
CO,2.6335485833274843,0.5370877299704421,5.0275496595774545,0.03851883047503178,2.5826489787323648
DL,2.8012914401599867,0.37727328207005983,4.141131265902412,0.003358871081317072,2.9854894891511514
EV,3.8111056056994403,0.6678161073465999,4.482256206979671,0.005165787288748427,6.553971261751078
F9,1.972012137652008,0.20322521321348935,2.75755729753339,0.0,4.0574239672651204
FL,1.9729870296134489,0.11003224593325171,3.692451411059635,0.0,6.520135704969714
HA,2.581088139880134,0.019945565513828558,0.020949029526584922,0.007422884477923792,0.5960026392478144
MQ,3.0001285376546467,0.8478596185186035,2.808533982142447,0.004875249615534693,4.01503431496316
NW,3.54093365253078,0.6594835841313269,2.8348632010943913,0.012575239398084815,2.140499316005472
OH,5.012631648671921,2.853917996953037,5.956978207590912,0.010094720805458039,1.4033847784328013
OO,1.758793105026593,0.20410293027215554,2.3279652871227308,0.010232609232966249,4.030608116148994
UA,2.6021282476506356,0.27627620444784623,2.6802419526300123,0.005028277416337118,4.532433983926521
US,2.174928642162288,0.20269994757383353,3.3600731053765944,0.018072464612337625,2.4833255664938543
WN,1.7996859019953992,0.3340103654113081,1.067709113005305,0.016566765313163506,3.958510895551341
XE,2.136148823377295,0.5593289371605896,5.153012671321438,0.018919705197827773,3.2938001034393585
YV,6.7657491977289554,0.8743808113223073,2.9542664362708795,0.019933349790175265,0.45077758578128857
