OP_CARRIER,TAXI_IN,TAXI_OUT
AA,7.277033812878594,15.174641179528553
AS,5.209249563699825,14.024649214659686
B6,5.955871736953636,18.22941107980346
CO,7.992638317516474,17.195325617592868
DL,8.45713435790299,19.425100448677615
EV,6.809467719927308,15.930214343843504
F9,7.236847685239722,13.809047002002591
FL,7.309187763628005,14.107548128493198
HA,6.0541414202162045,9.906992828253973
MQ,6.754309988262254,15.333126152814264
OO,6.057134849318627,14.793745791619813
UA,6.531649123259911,16.21352832222215
US,6.8162273276311955,18.351428760434253
WN,5.009579362513963,10.24926967543345
XE,6.6355003439249245,14.251130820291328
YV,6.929817235730575,15.353650467349757
