State,Destination Count,STATE,Airport Count
CA,755338,CA,26
TX,557524,TX,25
FL,452791,FL,17
GA,377223,GA,8
IL,362695,IL,8
CO,244925,CO,11
NY,244345,NY,13
AZ,172616,AZ,4
NV,168163,NV,3
NC,162881,NC,8
MI,157471,MI,14
WA,153370,WA,5
VA,143041,VA,9
MN,142614,MN,8
MA,127182,MA,5
NJ,121679,NJ,3
UT,115389,UT,5
PA,110120,PA,6
MO,105589,MO,5
HI,104694,HI,5
MD,101019,MD,1
TN,81939,TN,5
OR,74106,OR,6
OH,71222,OH,5
LA,66286,LA,7
WI,50879,WI,8
IN,40060,IN,4
AK,36397,AK,19
KY,34656,KY,4
SC,30452,SC,5
OK,29436,OK,3
PR,26907,PR,3
NE,22864,NE,3
ID,22414,ID,6
AL,22288,AL,5
CT,22214,CT,1
NM,21612,NM,4
MT,17433,MT,8
IA,13963,IA,5
AR,13870,AR,4
RI,13757,RI,1
ND,10959,ND,8
KS,9876,KS,5
MS,9569,MS,6
SD,8330,SD,4
WY,7549,WY,7
ME,6791,ME,2
NH,6177,NH,1
VI,5252,VI,2
VT,3273,VT,1
WV,2012,WV,3
GU,365,GU,1
AS,119,AS,1
